[ 06:56:56 ]BEB2 :24 [°C], 76.16 RH, 0.9244 bar

[ 09:26:39 ]DAD1 :30 [°C], 63.45 RH, 0.9238 bar

[ 09:26:39 ]CCCC :30 [°C], 59.99 RH, 0.9238 bar

[ 09:26:39 ]EEEE :29 [°C], 65.75 RH, 0.9232 bar

[ 09:26:48 ]DAD1 :30 [°C], 63.47 RH, 0.9225 bar

[ 09:26:48 ]CECE :31 [°C], 62.62 RH, 0.9232 bar

[ 09:26:48 ]EEEE :30 [°C], 65.84 RH, 0.9232 bar

[ 09:26:48 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:26:48 ]BEB2 :30 [°C], 62.95 RH, 0.9232 bar

[ 09:26:51 ]CCCC :30 [°C], 60.02 RH, 0.9251 bar

[ 09:26:51 ]BEB2 :30 [°C], 62.99 RH, 0.9232 bar

[ 09:26:51 ]EEEE :30 [°C], 65.81 RH, 0.9244 bar

[ 09:26:51 ]CECE :31 [°C], 62.62 RH, 0.9232 bar

[ 09:26:51 ]DAD1 :30 [°C], 63.50 RH, 0.9238 bar

[ 09:26:54 ]CECE :31 [°C], 62.59 RH, 0.9232 bar

[ 09:26:54 ]CCCC :30 [°C], 60.09 RH, 0.9225 bar

[ 09:26:54 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:26:54 ]DAD1 :30 [°C], 63.56 RH, 0.9232 bar

[ 09:26:54 ]EEEE :30 [°C], 65.75 RH, 0.9225 bar

[ 09:26:57 ]EEEE :30 [°C], 65.75 RH, 0.9232 bar

[ 09:26:57 ]CECE :31 [°C], 62.59 RH, 0.9219 bar

[ 09:26:57 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:26:57 ]DAD1 :30 [°C], 63.53 RH, 0.9232 bar

[ 09:27:03 ]CECE :31 [°C], 62.59 RH, 0.9232 bar

[ 09:27:03 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:27:03 ]BEB2 :30 [°C], 62.99 RH, 0.9232 bar

[ 09:27:03 ]EEEE :30 [°C], 65.75 RH, 0.9225 bar

[ 09:27:03 ]DAD1 :30 [°C], 63.50 RH, 0.9238 bar

[ 09:27:06 ]DAD1 :30 [°C], 63.47 RH, 0.9238 bar

[ 09:27:06 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:27:06 ]EEEE :30 [°C], 65.78 RH, 0.9232 bar

[ 09:27:06 ]CCCC :30 [°C], 60.12 RH, 0.9238 bar

[ 09:27:06 ]CECE :31 [°C], 62.59 RH, 0.9232 bar

[ 09:27:09 ]CECE :31 [°C], 62.59 RH, 0.9232 bar

[ 09:27:09 ]BEB2 :30 [°C], 62.99 RH, 0.9232 bar

[ 09:27:09 ]EEEE :29 [°C], 65.81 RH, 0.9244 bar

[ 09:27:09 ]DAD1 :30 [°C], 63.45 RH, 0.9244 bar

[ 09:27:09 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:27:12 ]CECE :31 [°C], 62.62 RH, 0.9232 bar

[ 09:27:12 ]BEB2 :30 [°C], 63.02 RH, 0.9251 bar

[ 09:27:12 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:27:12 ]DAD1 :30 [°C], 63.42 RH, 0.9232 bar

[ 09:27:12 ]EEEE :30 [°C], 65.84 RH, 0.9244 bar

[ 09:27:15 ]BEB2 :30 [°C], 63.02 RH, 0.9238 bar

[ 09:27:15 ]EEEE :30 [°C], 65.87 RH, 0.9225 bar

[ 09:27:15 ]CCCC :30 [°C], 60.06 RH, 0.9238 bar

[ 09:27:15 ]CECE :31 [°C], 62.65 RH, 0.9232 bar

[ 09:27:18 ]EEEE :30 [°C], 65.90 RH, 0.9232 bar

[ 09:27:18 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:27:18 ]DAD1 :30 [°C], 63.39 RH, 0.9225 bar

[ 09:27:18 ]CECE :31 [°C], 62.68 RH, 0.9244 bar

[ 09:27:18 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:27:27 ]CECE :31 [°C], 62.71 RH, 0.9232 bar

[ 09:27:27 ]CCCC :30 [°C], 60.12 RH, 0.9238 bar

[ 09:27:27 ]DAD1 :30 [°C], 63.39 RH, 0.9232 bar

[ 09:27:27 ]BEB2 :30 [°C], 62.99 RH, 0.9232 bar

[ 09:27:30 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:27:30 ]CCCC :30 [°C], 60.20 RH, 0.9238 bar

[ 09:27:30 ]DAD1 :30 [°C], 63.39 RH, 0.9232 bar

[ 09:27:30 ]CECE :31 [°C], 62.74 RH, 0.9232 bar

[ 09:27:30 ]EEEE :30 [°C], 65.90 RH, 0.9244 bar

[ 09:27:33 ]BEB2 :30 [°C], 62.99 RH, 0.9225 bar

[ 09:27:33 ]CECE :31 [°C], 62.74 RH, 0.9232 bar

[ 09:27:33 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:27:33 ]EEEE :30 [°C], 65.90 RH, 0.9232 bar

[ 09:27:33 ]DAD1 :30 [°C], 63.42 RH, 0.9244 bar

[ 09:27:36 ]CECE :31 [°C], 62.71 RH, 0.9225 bar

[ 09:27:36 ]BEB2 :30 [°C], 62.99 RH, 0.9232 bar

[ 09:27:36 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:27:36 ]EEEE :30 [°C], 65.90 RH, 0.9238 bar

[ 09:27:36 ]DAD1 :30 [°C], 63.39 RH, 0.9238 bar

[ 09:27:45 ]EEEE :30 [°C], 65.90 RH, 0.9232 bar

[ 09:27:45 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:27:45 ]CECE :31 [°C], 62.71 RH, 0.9219 bar

[ 09:27:45 ]DAD1 :30 [°C], 63.39 RH, 0.9244 bar

[ 09:27:45 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:27:51 ]EEEE :30 [°C], 65.87 RH, 0.9232 bar

[ 09:27:51 ]CECE :31 [°C], 62.68 RH, 0.9232 bar

[ 09:27:51 ]BEB2 :30 [°C], 62.99 RH, 0.9232 bar

[ 09:27:51 ]CCCC :30 [°C], 60.38 RH, 0.9225 bar

[ 09:27:54 ]CECE :31 [°C], 62.68 RH, 0.9232 bar

[ 09:27:54 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:27:54 ]EEEE :30 [°C], 65.84 RH, 0.9232 bar

[ 09:27:54 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:27:55 ]DAD1 :30 [°C], 63.46 RH, 0.9244 bar

[ 09:27:57 ]CECE :31 [°C], 62.68 RH, 0.9232 bar

[ 09:27:57 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:27:57 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:28:12 ]BEB2 :30 [°C], 62.99 RH, 0.9238 bar

[ 09:28:12 ]CCCC :30 [°C], 60.26 RH, 0.9225 bar

[ 09:28:12 ]DAD1 :30 [°C], 63.57 RH, 0.9232 bar

[ 09:28:13 ]CECE :31 [°C], 62.68 RH, 0.9232 bar

[ 09:28:13 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:28:18 ]CECE :31 [°C], 62.76 RH, 0.9232 bar

[ 09:28:18 ]BEB2 :30 [°C], 63.02 RH, 0.9232 bar

[ 09:28:18 ]CCCC :30 [°C], 60.26 RH, 0.9244 bar

[ 09:28:18 ]DAD1 :30 [°C], 63.60 RH, 0.9244 bar

[ 09:28:19 ]EEEE :30 [°C], 65.95 RH, 0.9232 bar

[ 09:28:22 ]CECE :31 [°C], 62.82 RH, 0.9232 bar

[ 09:28:22 ]EEEE :30 [°C], 65.95 RH, 0.9244 bar

[ 09:28:22 ]BEB2 :30 [°C], 63.02 RH, 0.9232 bar

[ 09:28:22 ]DAD1 :30 [°C], 63.60 RH, 0.9232 bar

[ 09:28:22 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:28:25 ]CECE :31 [°C], 62.86 RH, 0.9232 bar

[ 09:28:25 ]CCCC :30 [°C], 60.26 RH, 0.9225 bar

[ 09:28:25 ]DAD1 :30 [°C], 63.60 RH, 0.9244 bar

[ 09:28:25 ]BEB2 :30 [°C], 63.02 RH, 0.9238 bar

[ 09:28:25 ]EEEE :29 [°C], 65.95 RH, 0.9232 bar

[ 09:28:28 ]EEEE :30 [°C], 65.95 RH, 0.9244 bar

[ 09:28:28 ]CCCC :30 [°C], 60.29 RH, 0.9238 bar

[ 09:28:28 ]CECE :31 [°C], 62.86 RH, 0.9225 bar

[ 09:28:28 ]DAD1 :30 [°C], 63.60 RH, 0.9238 bar

[ 09:28:28 ]BEB2 :30 [°C], 63.02 RH, 0.9232 bar

[ 09:28:31 ]DAD1 :30 [°C], 63.60 RH, 0.9225 bar

[ 09:28:31 ]BEB2 :30 [°C], 63.02 RH, 0.9232 bar

[ 09:28:31 ]CCCC :30 [°C], 60.35 RH, 0.9225 bar

[ 09:28:31 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:28:31 ]CECE :31 [°C], 62.86 RH, 0.9232 bar

[ 09:28:34 ]BEB2 :30 [°C], 63.05 RH, 0.9219 bar

[ 09:28:34 ]CECE :31 [°C], 62.92 RH, 0.9232 bar

[ 09:28:34 ]CCCC :30 [°C], 60.41 RH, 0.9244 bar

[ 09:28:34 ]DAD1 :30 [°C], 63.63 RH, 0.9244 bar

[ 09:28:37 ]CCCC :30 [°C], 60.44 RH, 0.9232 bar

[ 09:28:37 ]BEB2 :30 [°C], 63.08 RH, 0.9238 bar

[ 09:28:37 ]EEEE :29 [°C], 65.87 RH, 0.9244 bar

[ 09:28:37 ]CECE :31 [°C], 62.92 RH, 0.9232 bar

[ 09:28:40 ]DAD1 :30 [°C], 63.63 RH, 0.9238 bar

[ 09:28:40 ]BEB2 :30 [°C], 63.08 RH, 0.9219 bar

[ 09:28:40 ]EEEE :30 [°C], 65.90 RH, 0.9244 bar

[ 09:28:40 ]CECE :31 [°C], 62.92 RH, 0.9232 bar

[ 09:28:40 ]CCCC :30 [°C], 60.50 RH, 0.9225 bar

[ 09:28:49 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 09:28:49 ]DAD1 :30 [°C], 63.66 RH, 0.9238 bar

[ 09:28:49 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:28:49 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:28:49 ]BEB2 :31 [°C], 63.14 RH, 0.9238 bar

[ 09:28:52 ]BEB2 :30 [°C], 63.14 RH, 0.9238 bar

[ 09:28:52 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:28:52 ]DAD1 :30 [°C], 63.66 RH, 0.9238 bar

[ 09:28:52 ]CCCC :30 [°C], 60.56 RH, 0.9238 bar

[ 09:28:52 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:28:55 ]CECE :31 [°C], 62.98 RH, 0.9232 bar

[ 09:28:55 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:28:55 ]BEB2 :31 [°C], 63.17 RH, 0.9238 bar

[ 09:28:55 ]CCCC :30 [°C], 60.56 RH, 0.9225 bar

[ 09:28:55 ]DAD1 :30 [°C], 63.66 RH, 0.9232 bar

[ 09:29:01 ]CECE :31 [°C], 62.98 RH, 0.9232 bar

[ 09:29:01 ]EEEE :30 [°C], 65.95 RH, 0.9232 bar

[ 09:29:01 ]DAD1 :30 [°C], 63.66 RH, 0.9244 bar

[ 09:29:01 ]CCCC :30 [°C], 60.59 RH, 0.9238 bar

[ 09:29:01 ]BEB2 :31 [°C], 63.17 RH, 0.9238 bar

[ 09:29:07 ]DAD1 :30 [°C], 63.66 RH, 0.9225 bar

[ 09:29:07 ]CCCC :30 [°C], 60.59 RH, 0.9251 bar

[ 09:29:07 ]BEB2 :30 [°C], 63.17 RH, 0.9238 bar

[ 09:29:07 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:07 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:29:10 ]CCCC :30 [°C], 60.59 RH, 0.9238 bar

[ 09:29:10 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:10 ]DAD1 :30 [°C], 63.66 RH, 0.9244 bar

[ 09:29:10 ]EEEE :30 [°C], 65.95 RH, 0.9232 bar

[ 09:29:10 ]BEB2 :31 [°C], 63.17 RH, 0.9244 bar

[ 09:29:13 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:13 ]CCCC :30 [°C], 60.59 RH, 0.9238 bar

[ 09:29:13 ]BEB2 :31 [°C], 63.17 RH, 0.9238 bar

[ 09:29:13 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:29:13 ]DAD1 :30 [°C], 63.66 RH, 0.9238 bar

[ 09:29:16 ]DAD1 :30 [°C], 63.66 RH, 0.9238 bar

[ 09:29:16 ]BEB2 :31 [°C], 63.19 RH, 0.9225 bar

[ 09:29:16 ]CCCC :30 [°C], 60.59 RH, 0.9257 bar

[ 09:29:16 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:16 ]EEEE :29 [°C], 65.93 RH, 0.9232 bar

[ 09:29:19 ]CCCC :30 [°C], 60.59 RH, 0.9238 bar

[ 09:29:19 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:29:19 ]DAD1 :30 [°C], 63.66 RH, 0.9244 bar

[ 09:29:19 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:19 ]BEB2 :31 [°C], 63.19 RH, 0.9232 bar

[ 09:29:22 ]CECE :31 [°C], 63.07 RH, 0.9232 bar

[ 09:29:22 ]DAD1 :30 [°C], 63.69 RH, 0.9244 bar

[ 09:29:22 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:29:22 ]BEB2 :30 [°C], 63.19 RH, 0.9238 bar

[ 09:29:22 ]CCCC :30 [°C], 60.62 RH, 0.9238 bar

[ 09:29:25 ]EEEE :30 [°C], 65.95 RH, 0.9232 bar

[ 09:29:25 ]BEB2 :30 [°C], 63.19 RH, 0.9232 bar

[ 09:29:25 ]CCCC :30 [°C], 60.62 RH, 0.9225 bar

[ 09:29:25 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:25 ]DAD1 :30 [°C], 63.69 RH, 0.9232 bar

[ 09:29:28 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:28 ]DAD1 :30 [°C], 63.72 RH, 0.9238 bar

[ 09:29:28 ]BEB2 :30 [°C], 63.19 RH, 0.9238 bar

[ 09:29:28 ]CCCC :30 [°C], 60.62 RH, 0.9238 bar

[ 09:29:28 ]EEEE :29 [°C], 65.93 RH, 0.9232 bar

[ 09:29:31 ]DAD1 :30 [°C], 63.72 RH, 0.9238 bar

[ 09:29:31 ]CCCC :30 [°C], 60.65 RH, 0.9238 bar

[ 09:29:31 ]EEEE :30 [°C], 65.93 RH, 0.9232 bar

[ 09:29:31 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:31 ]BEB2 :31 [°C], 63.19 RH, 0.9238 bar

[ 09:29:43 ]DAD1 :30 [°C], 63.72 RH, 0.9238 bar

[ 09:29:43 ]BEB2 :31 [°C], 63.19 RH, 0.9232 bar

[ 09:29:43 ]CCCC :30 [°C], 60.65 RH, 0.9251 bar

[ 09:29:43 ]CECE :31 [°C], 63.04 RH, 0.9244 bar

[ 09:29:43 ]EEEE :29 [°C], 65.95 RH, 0.9244 bar

[ 09:29:46 ]CCCC :30 [°C], 60.65 RH, 0.9251 bar

[ 09:29:46 ]CECE :31 [°C], 63.04 RH, 0.9232 bar

[ 09:29:47 ]BEB2 :31 [°C], 63.19 RH, 0.9238 bar

[ 09:29:47 ]DAD1 :30 [°C], 63.72 RH, 0.9244 bar

[ 09:29:47 ]EEEE :29 [°C], 65.98 RH, 0.9244 bar

[ 09:29:52 ]EEEE :29 [°C], 66.01 RH, 0.9232 bar

[ 09:29:53 ]DAD1 :30 [°C], 63.72 RH, 0.9244 bar

[ 09:29:53 ]BEB2 :31 [°C], 63.19 RH, 0.9238 bar

[ 09:29:53 ]CECE :31 [°C], 63.07 RH, 0.9232 bar

[ 09:29:53 ]CCCC :30 [°C], 60.56 RH, 0.9238 bar

[ 09:29:55 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 09:29:55 ]BEB2 :30 [°C], 63.19 RH, 0.9232 bar

[ 09:29:55 ]EEEE :29 [°C], 66.01 RH, 0.9232 bar

[ 09:29:56 ]DAD1 :30 [°C], 63.72 RH, 0.9244 bar

[ 09:29:56 ]CECE :31 [°C], 63.07 RH, 0.9232 bar

[ 09:30:04 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:30:05 ]CECE :31 [°C], 63.07 RH, 0.9232 bar

[ 09:30:05 ]EEEE :29 [°C], 66.01 RH, 0.9244 bar

[ 09:30:05 ]BEB2 :31 [°C], 63.11 RH, 0.9238 bar

[ 09:30:08 ]EEEE :30 [°C], 66.01 RH, 0.9232 bar

[ 09:30:08 ]DAD1 :30 [°C], 63.72 RH, 0.9244 bar

[ 09:30:08 ]BEB2 :31 [°C], 63.11 RH, 0.9232 bar

[ 09:30:08 ]CCCC :30 [°C], 60.29 RH, 0.9238 bar

[ 09:30:11 ]BEB2 :31 [°C], 63.08 RH, 0.9225 bar

[ 09:30:11 ]DAD1 :30 [°C], 63.72 RH, 0.9244 bar

[ 09:30:11 ]CCCC :30 [°C], 60.26 RH, 0.9225 bar

[ 09:30:11 ]EEEE :29 [°C], 66.01 RH, 0.9244 bar

[ 09:30:11 ]CECE :31 [°C], 63.10 RH, 0.9232 bar

[ 09:30:20 ]CCCC :30 [°C], 60.23 RH, 0.9225 bar

[ 09:30:20 ]BEB2 :31 [°C], 63.08 RH, 0.9238 bar

[ 09:30:20 ]EEEE :29 [°C], 66.11 RH, 0.9232 bar

[ 09:30:20 ]CECE :31 [°C], 63.03 RH, 0.9232 bar

[ 09:30:26 ]DAD1 :30 [°C], 63.69 RH, 0.9238 bar

[ 09:30:26 ]CCCC :30 [°C], 60.20 RH, 0.9251 bar

[ 09:30:26 ]CECE :31 [°C], 63.00 RH, 0.9232 bar

[ 09:30:26 ]BEB2 :31 [°C], 63.02 RH, 0.9232 bar

[ 09:30:26 ]EEEE :30 [°C], 66.11 RH, 0.9232 bar

[ 09:30:32 ]BEB2 :30 [°C], 63.02 RH, 0.9238 bar

[ 09:30:32 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:30:32 ]DAD1 :30 [°C], 63.60 RH, 0.9238 bar

[ 09:30:32 ]EEEE :29 [°C], 66.11 RH, 0.9232 bar

[ 09:30:35 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:30:35 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:30:35 ]DAD1 :30 [°C], 63.57 RH, 0.9238 bar

[ 09:30:35 ]BEB2 :31 [°C], 63.02 RH, 0.9232 bar

[ 09:30:35 ]EEEE :29 [°C], 66.11 RH, 0.9232 bar

[ 09:30:38 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:30:38 ]BEB2 :31 [°C], 63.02 RH, 0.9238 bar

[ 09:30:38 ]CCCC :30 [°C], 60.20 RH, 0.9238 bar

[ 09:30:38 ]EEEE :29 [°C], 66.11 RH, 0.9232 bar

[ 09:30:38 ]DAD1 :30 [°C], 63.55 RH, 0.9238 bar

[ 09:30:41 ]EEEE :29 [°C], 66.14 RH, 0.9244 bar

[ 09:30:41 ]CCCC :30 [°C], 60.12 RH, 0.9238 bar

[ 09:30:41 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:30:41 ]BEB2 :31 [°C], 63.02 RH, 0.9232 bar

[ 09:30:44 ]CECE :31 [°C], 62.95 RH, 0.9225 bar

[ 09:30:44 ]BEB2 :30 [°C], 63.02 RH, 0.9232 bar

[ 09:30:44 ]DAD1 :30 [°C], 63.52 RH, 0.9244 bar

[ 09:30:44 ]CCCC :30 [°C], 60.06 RH, 0.9238 bar

[ 09:30:47 ]BEB2 :31 [°C], 63.02 RH, 0.9232 bar

[ 09:30:47 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:30:47 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:30:47 ]DAD1 :30 [°C], 63.49 RH, 0.9238 bar

[ 09:30:47 ]EEEE :29 [°C], 66.14 RH, 0.9244 bar

[ 09:30:50 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:30:50 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:30:50 ]EEEE :29 [°C], 66.17 RH, 0.9232 bar

[ 09:30:50 ]DAD1 :30 [°C], 63.46 RH, 0.9244 bar

[ 09:30:50 ]BEB2 :31 [°C], 62.99 RH, 0.9219 bar

[ 09:30:53 ]DAD1 :30 [°C], 63.46 RH, 0.9238 bar

[ 09:30:53 ]CECE :31 [°C], 62.95 RH, 0.9225 bar

[ 09:30:53 ]BEB2 :31 [°C], 62.99 RH, 0.9238 bar

[ 09:30:53 ]CCCC :30 [°C], 60.06 RH, 0.9238 bar

[ 09:30:53 ]EEEE :29 [°C], 66.17 RH, 0.9244 bar

[ 09:30:59 ]DAD1 :30 [°C], 63.44 RH, 0.9244 bar

[ 09:30:59 ]CECE :31 [°C], 62.92 RH, 0.9232 bar

[ 09:30:59 ]EEEE :29 [°C], 66.19 RH, 0.9232 bar

[ 09:30:59 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:30:59 ]BEB2 :31 [°C], 62.99 RH, 0.9238 bar

[ 09:31:08 ]BEB2 :30 [°C], 62.96 RH, 0.9238 bar

[ 09:31:08 ]EEEE :29 [°C], 66.17 RH, 0.9232 bar

[ 09:31:08 ]CECE :31 [°C], 62.92 RH, 0.9225 bar

[ 09:31:08 ]DAD1 :30 [°C], 63.44 RH, 0.9244 bar

[ 09:31:08 ]CCCC :30 [°C], 59.99 RH, 0.9244 bar

[ 09:31:11 ]CECE :31 [°C], 62.92 RH, 0.9232 bar

[ 09:31:11 ]DAD1 :30 [°C], 63.44 RH, 0.9238 bar

[ 09:31:11 ]CCCC :30 [°C], 59.99 RH, 0.9238 bar

[ 09:31:11 ]BEB2 :31 [°C], 62.96 RH, 0.9232 bar

[ 09:31:11 ]EEEE :29 [°C], 66.17 RH, 0.9232 bar

[ 09:31:17 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:31:17 ]EEEE :29 [°C], 66.19 RH, 0.9232 bar

[ 09:31:17 ]BEB2 :30 [°C], 62.94 RH, 0.9238 bar

[ 09:31:17 ]CCCC :30 [°C], 60.02 RH, 0.9251 bar

[ 09:31:17 ]DAD1 :30 [°C], 63.44 RH, 0.9238 bar

[ 09:31:20 ]DAD1 :30 [°C], 63.40 RH, 0.9238 bar

[ 09:31:20 ]CECE :31 [°C], 62.95 RH, 0.9232 bar

[ 09:31:20 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:31:20 ]BEB2 :31 [°C], 62.94 RH, 0.9238 bar

[ 09:31:20 ]EEEE :29 [°C], 66.17 RH, 0.9232 bar

[ 09:31:35 ]BEB2 :31 [°C], 62.88 RH, 0.9238 bar

[ 09:31:35 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:31:35 ]EEEE :29 [°C], 66.22 RH, 0.9244 bar

[ 09:31:35 ]DAD1 :30 [°C], 63.29 RH, 0.9238 bar

[ 09:31:35 ]CCCC :30 [°C], 60.09 RH, 0.9251 bar

[ 09:31:38 ]DAD1 :30 [°C], 63.29 RH, 0.9238 bar

[ 09:31:38 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:31:38 ]BEB2 :30 [°C], 62.88 RH, 0.9232 bar

[ 09:31:38 ]EEEE :29 [°C], 66.14 RH, 0.9232 bar

[ 09:31:39 ]CCCC :30 [°C], 60.09 RH, 0.9225 bar

[ 09:31:41 ]DAD1 :30 [°C], 63.29 RH, 0.9238 bar

[ 09:31:41 ]BEB2 :31 [°C], 62.88 RH, 0.9238 bar

[ 09:31:41 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:31:42 ]EEEE :29 [°C], 66.11 RH, 0.9232 bar

[ 09:31:42 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:31:47 ]BEB2 :31 [°C], 62.85 RH, 0.9238 bar

[ 09:31:47 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:31:47 ]EEEE :29 [°C], 66.07 RH, 0.9232 bar

[ 09:31:48 ]CCCC :30 [°C], 59.96 RH, 0.9238 bar

[ 09:31:48 ]DAD1 :30 [°C], 63.26 RH, 0.9219 bar

[ 09:31:53 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:31:53 ]DAD1 :30 [°C], 63.26 RH, 0.9238 bar

[ 09:31:54 ]EEEE :29 [°C], 66.11 RH, 0.9244 bar

[ 09:31:54 ]BEB2 :30 [°C], 62.82 RH, 0.9219 bar

[ 09:31:54 ]CCCC :30 [°C], 59.93 RH, 0.9238 bar

[ 09:31:57 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:31:57 ]EEEE :29 [°C], 66.19 RH, 0.9244 bar

[ 09:31:57 ]BEB2 :31 [°C], 62.82 RH, 0.9238 bar

[ 09:31:57 ]DAD1 :30 [°C], 63.24 RH, 0.9238 bar

[ 09:31:57 ]CCCC :30 [°C], 59.93 RH, 0.9238 bar

[ 09:32:03 ]DAD1 :30 [°C], 63.21 RH, 0.9238 bar

[ 09:32:03 ]BEB2 :31 [°C], 62.82 RH, 0.9238 bar

[ 09:32:03 ]EEEE :29 [°C], 66.19 RH, 0.9244 bar

[ 09:32:03 ]CCCC :30 [°C], 59.96 RH, 0.9238 bar

[ 09:32:03 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:32:12 ]DAD1 :30 [°C], 63.29 RH, 0.9244 bar

[ 09:32:12 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:32:12 ]EEEE :30 [°C], 66.22 RH, 0.9232 bar

[ 09:32:12 ]BEB2 :31 [°C], 62.91 RH, 0.9238 bar

[ 09:32:12 ]CCCC :30 [°C], 59.99 RH, 0.9225 bar

[ 09:32:15 ]BEB2 :31 [°C], 62.94 RH, 0.9232 bar

[ 09:32:15 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:32:15 ]DAD1 :30 [°C], 63.32 RH, 0.9238 bar

[ 09:32:15 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:32:15 ]EEEE :29 [°C], 66.19 RH, 0.9232 bar

[ 09:32:21 ]DAD1 :30 [°C], 63.32 RH, 0.9238 bar

[ 09:32:21 ]CECE :31 [°C], 62.79 RH, 0.9232 bar

[ 09:32:21 ]BEB2 :30 [°C], 62.96 RH, 0.9238 bar

